Country,City or Region (if applicable),Resolution,Year,Month (if applicable),Pollutant,Concentration,Unit,Method of Measurement,Data Source (Link),(Comments)
Bangladesh,NA,Annual,1990,NA,Ambient PM2.5,62,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,1995,NA,Ambient PM2.5,62,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2000,NA,Ambient PM2.5,63,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2005,NA,Ambient PM2.5,69,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2010,NA,Ambient PM2.5,71,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2011,NA,Ambient PM2.5,70,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2012,NA,Ambient PM2.5,71,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2013,NA,Ambient PM2.5,66,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2014,NA,Ambient PM2.5,68,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2015,NA,Ambient PM2.5,67,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2016,NA,Ambient PM2.5,60,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2017,NA,Ambient PM2.5,61,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Bangladesh,NA,8-hour max during warm season (6-month period),1990,NA,Ambient O3,62,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Bangladesh,NA,8-hour max during warm season (6-month period),1995,NA,Ambient O3,62,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Bangladesh,NA,8-hour max during warm season (6-month period),2000,NA,Ambient O3,62,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Bangladesh,NA,8-hour max during warm season (6-month period),2005,NA,Ambient O3,61,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Bangladesh,NA,8-hour max during warm season (6-month period),2010,NA,Ambient O3,60,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Bangladesh,NA,8-hour max during warm season (6-month period),2011,NA,Ambient O3,59,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Bangladesh,NA,8-hour max during warm season (6-month period),2012,NA,Ambient O3,59,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Bangladesh,NA,8-hour max during warm season (6-month period),2013,NA,Ambient O3,59,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Bangladesh,NA,8-hour max during warm season (6-month period),2014,NA,Ambient O3,59,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Bangladesh,NA,8-hour max during warm season (6-month period),2015,NA,Ambient O3,59,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Bangladesh,NA,8-hour max during warm season (6-month period),2016,NA,Ambient O3,58,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Bangladesh,NA,8-hour max during warm season (6-month period),2017,NA,Ambient O3,58,ppb,"Estimates based on monitoring stations (nearly 10,000 sites around the world) and global chemical transport models; 8-hour daily maximum ozone concentrations.",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,1990,NA,Household AP,0.96,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,1995,NA,Household AP,0.95,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2000,NA,Household AP,0.93,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2005,NA,Household AP,0.91,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2010,NA,Household AP,0.88,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2011,NA,Household AP,0.87,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2012,NA,Household AP,0.86,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2013,NA,Household AP,0.85,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2014,NA,Household AP,0.84,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2015,NA,Household AP,0.82,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2016,NA,Household AP,0.81,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Bangladesh,NA,Annual,2017,NA,Household AP,0.79,Proportion of population,"Estimates based on information from surveys about cooking practices, information on the age and gender structure of the population in each country, and indoor measurements of household air pollution-related PM2.5",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,1990,NA,Ambient PM2.5,29,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
Cambodia,NA,Annual,1995,NA,Ambient PM2.5,30,??g/m3,"Estimated using data from air pollution monitoring stations (9,960 stations from 108 countries), satellite observations (from 1998 to 2017), and global chemical transport models
",https://www.stateofglobalair.org/,
