Country,Year,Age,Cause,Pollutant,Measure,Value,Lower Bound,Upper Bound,Units,Life Expectancy (State of global air?),
Bangladesh,1990,<5 years,Lower respiratory infections,Ambient PM,DALYs,5851.261,3234.717,9586.855,"per 100,000",58.401001,Sources: https://vizhub.healthdata.org/gbd-compare/
Bangladesh,1991,<5 years,Lower respiratory infections,Ambient PM,DALYs,5871.948,3410.943,9219.384,"per 100,000",59.033001,# deaths: https://www.stateofglobalair.org/data/#/health/table
Bangladesh,1992,<5 years,Lower respiratory infections,Ambient PM,DALYs,5673.428,3435.225,8592.856,"per 100,000",59.700001,
Bangladesh,1993,<5 years,Lower respiratory infections,Ambient PM,DALYs,5539.291,3323.858,8375.634,"per 100,000",60.400002,
Bangladesh,1994,<5 years,Lower respiratory infections,Ambient PM,DALYs,5433.972,3240.8,8264.294,"per 100,000",61.126999,
Bangladesh,1995,<5 years,Lower respiratory infections,Ambient PM,DALYs,5313.384,3007.46,8290.775,"per 100,000",61.868,
Bangladesh,1996,<5 years,Lower respiratory infections,Ambient PM,DALYs,5310.737,3181.691,7978.437,"per 100,000",62.610001,
Bangladesh,1997,<5 years,Lower respiratory infections,Ambient PM,DALYs,5320.659,3275.375,7981.359,"per 100,000",63.338001,
Bangladesh,1998,<5 years,Lower respiratory infections,Ambient PM,DALYs,5272.501,3187.428,7922.477,"per 100,000",64.038002,
Bangladesh,1999,<5 years,Lower respiratory infections,Ambient PM,DALYs,5280.879,3160.599,7804.281,"per 100,000",64.702003,
Bangladesh,2000,<5 years,Lower respiratory infections,Ambient PM,DALYs,5262.744,3077.405,8172.881,"per 100,000",65.323997,
Bangladesh,2001,<5 years,Lower respiratory infections,Ambient PM,DALYs,5247.913,3197.378,7770.946,"per 100,000",65.903,
Bangladesh,2002,<5 years,Lower respiratory infections,Ambient PM,DALYs,5214.526,3315.269,7575.772,"per 100,000",66.447998,
Bangladesh,2003,<5 years,Lower respiratory infections,Ambient PM,DALYs,5130.228,3135.308,7596.127,"per 100,000",66.964996,
Bangladesh,2004,<5 years,Lower respiratory infections,Ambient PM,DALYs,4913.793,3034.119,7247.287,"per 100,000",67.459999,
Bangladesh,2005,<5 years,Lower respiratory infections,Ambient PM,DALYs,4642.013,2749.82,6932.808,"per 100,000",67.936996,
Bangladesh,2006,<5 years,Lower respiratory infections,Ambient PM,DALYs,4338.2,2621.278,6435.965,"per 100,000",68.403,
Bangladesh,2007,<5 years,Lower respiratory infections,Ambient PM,DALYs,4100.716,2494.634,5943.829,"per 100,000",68.861,
Bangladesh,2008,<5 years,Lower respiratory infections,Ambient PM,DALYs,3819.442,2383.122,5576.555,"per 100,000",69.311996,
Bangladesh,2009,<5 years,Lower respiratory infections,Ambient PM,DALYs,3572.668,2164.615,5250.247,"per 100,000",69.759003,
Bangladesh,2010,<5 years,Lower respiratory infections,Ambient PM,DALYs,3357.256,1993.967,4984.851,"per 100,000",70.197998,
Bangladesh,2011,<5 years,Lower respiratory infections,Ambient PM,DALYs,3223.117,1968.257,4863.046,"per 100,000",70.625999,
Bangladesh,2012,<5 years,Lower respiratory infections,Ambient PM,DALYs,3070.864,1862.437,4442.472,"per 100,000",71.039001,
Bangladesh,2013,<5 years,Lower respiratory infections,Ambient PM,DALYs,2747.608,1658.661,4035.782,"per 100,000",71.431,
Bangladesh,2014,<5 years,Lower respiratory infections,Ambient PM,DALYs,2696.32,1560.449,4063.925,"per 100,000",71.803001,
Bangladesh,2015,<5 years,Lower respiratory infections,Ambient PM,DALYs,2503.689,1494.141,3733.978,"per 100,000",72.154999,
Bangladesh,2016,<5 years,Lower respiratory infections,Ambient PM,DALYs,2206.386,1258.764,3340.445,"per 100,000",72.7,Life expectancy: https://ourworldindata.org/life-expectancy for <2000
Bangladesh,2017,<5 years,Lower respiratory infections,Ambient PM,DALYs,2092.669,1206.766,3288.722,"per 100,000",,
Bangladesh,1990,<5 years,Lower respiratory infections,Ambient PM,Deaths,67.16285,37.05436,110.053,"per 100,000",58.401001,
Bangladesh,1991,<5 years,Lower respiratory infections,Ambient PM,Deaths,67.39943,39.12047,105.7462,"per 100,000",59.033001,
Bangladesh,1992,<5 years,Lower respiratory infections,Ambient PM,Deaths,65.0975,39.41924,98.55888,"per 100,000",59.700001,
Bangladesh,1993,<5 years,Lower respiratory infections,Ambient PM,Deaths,63.544,38.14079,96.09401,"per 100,000",60.400002,
Bangladesh,1994,<5 years,Lower respiratory infections,Ambient PM,Deaths,62.3196,37.16418,94.83269,"per 100,000",61.126999,
Bangladesh,1995,<5 years,Lower respiratory infections,Ambient PM,Deaths,60.92279,34.50855,95.03575,"per 100,000",61.868,
Bangladesh,1996,<5 years,Lower respiratory infections,Ambient PM,Deaths,60.8787,36.51113,91.32604,"per 100,000",62.610001,
Bangladesh,1997,<5 years,Lower respiratory infections,Ambient PM,Deaths,60.97966,37.51461,91.49892,"per 100,000",63.338001,
Bangladesh,1998,<5 years,Lower respiratory infections,Ambient PM,Deaths,60.41458,36.51655,90.75919,"per 100,000",64.038002,
Bangladesh,1999,<5 years,Lower respiratory infections,Ambient PM,Deaths,60.49937,36.1947,89.37939,"per 100,000",64.702003,
Bangladesh,2000,<5 years,Lower respiratory infections,Ambient PM,Deaths,60.28228,35.24952,93.74396,"per 100,000",65.323997,
Bangladesh,2001,<5 years,Lower respiratory infections,Ambient PM,Deaths,60.10382,36.62744,89.05558,"per 100,000",65.903,
Bangladesh,2002,<5 years,Lower respiratory infections,Ambient PM,Deaths,59.71715,37.93098,86.74247,"per 100,000",66.447998,
Bangladesh,2003,<5 years,Lower respiratory infections,Ambient PM,Deaths,58.7506,35.95794,86.97433,"per 100,000",66.964996,
Bangladesh,2004,<5 years,Lower respiratory infections,Ambient PM,Deaths,56.27256,34.74628,83.04125,"per 100,000",67.459999,
Bangladesh,2005,<5 years,Lower respiratory infections,Ambient PM,Deaths,53.15544,31.50212,79.4604,"per 100,000",67.936996,
Bangladesh,2006,<5 years,Lower respiratory infections,Ambient PM,Deaths,49.67322,29.99635,73.69814,"per 100,000",68.403,
Bangladesh,2007,<5 years,Lower respiratory infections,Ambient PM,Deaths,46.96104,28.58032,68.0845,"per 100,000",68.861,
Bangladesh,2008,<5 years,Lower respiratory infections,Ambient PM,Deaths,43.73645,27.30528,63.8656,"per 100,000",69.311996,
Bangladesh,2009,<5 years,Lower respiratory infections,Ambient PM,Deaths,40.90425,24.78083,60.15388,"per 100,000",69.759003,
Bangladesh,2010,<5 years,Lower respiratory infections,Ambient PM,Deaths,38.4312,22.82961,57.03739,"per 100,000",70.197998,
Bangladesh,2011,<5 years,Lower respiratory infections,Ambient PM,Deaths,36.89013,22.51215,55.66959,"per 100,000",70.625999,
Bangladesh,2012,<5 years,Lower respiratory infections,Ambient PM,Deaths,35.14024,21.31254,50.86574,"per 100,000",71.039001,
Bangladesh,2013,<5 years,Lower respiratory infections,Ambient PM,Deaths,31.43656,18.96247,46.18858,"per 100,000",71.431,
Bangladesh,2014,<5 years,Lower respiratory infections,Ambient PM,Deaths,30.84482,17.85196,46.4842,"per 100,000",71.803001,
Bangladesh,2015,<5 years,Lower respiratory infections,Ambient PM,Deaths,28.63974,17.08953,42.6921,"per 100,000",72.154999,
Bangladesh,2016,<5 years,Lower respiratory infections,Ambient PM,Deaths,25.23591,14.37706,38.25089,"per 100,000",72.7,
Bangladesh,2017,<5 years,Lower respiratory infections,Ambient PM,Deaths,23.93275,13.79827,37.60719,"per 100,000",,
Bangladesh,1990,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,108.1671,59.73348,182.1041,"per 100,000",58.401001,
Bangladesh,1991,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,103.423,58.27135,165.5164,"per 100,000",59.033001,
Bangladesh,1992,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,104.8318,64.79701,168.4274,"per 100,000",59.700001,
Bangladesh,1993,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,104.5564,63.35916,159.9,"per 100,000",60.400002,
Bangladesh,1994,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,104.0465,61.15509,162.1841,"per 100,000",61.126999,
Bangladesh,1995,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,105.2648,60.12861,165.3352,"per 100,000",61.868,
Bangladesh,1996,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,105.3297,61.91007,161.166,"per 100,000",62.610001,
Bangladesh,1997,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,104.6642,61.43178,157.328,"per 100,000",63.338001,
Bangladesh,1998,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,105.3511,62.79579,160.2952,"per 100,000",64.038002,
Bangladesh,1999,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,107.5955,63.31912,160.7086,"per 100,000",64.702003,
Bangladesh,2000,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,109.9924,63.20078,165.8622,"per 100,000",65.323997,
Bangladesh,2001,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,112.4828,68.78635,165.8538,"per 100,000",65.903,
Bangladesh,2002,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,116.2575,73.75232,170.1258,"per 100,000",66.447998,
Bangladesh,2003,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,121.0759,75.55061,178.1175,"per 100,000",66.964996,
Bangladesh,2004,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,123.4434,76.16622,179.2101,"per 100,000",67.459999,
Bangladesh,2005,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,127.5799,76.45127,187.9764,"per 100,000",67.936996,
Bangladesh,2006,All ages,Chronic obstructive pulmonary disease,Ambient PM,DALYs,134.2758,82.5839,188.7615,"per 100,000",68.403,
