country,city,location,sourceNames,count,firstUpdated,lastUpdated
BD,Dhaka,SPARTAN - Dhaka University,Spartan,1365,2014-05-24,2015-09-20
BD,Dhaka,US Diplomatic Post: Dhaka,StateAir_Dhaka,24004,2016-03-10,2019-04-14
ID,Bandung,SPARTAN - ITB Bandung,Spartan,2877,2014-01-22,2015-09-13
ID,Jakarta,US Diplomatic Post: Jakarta Central,StateAir_JakartaCentral,26233,2015-12-23,2019-04-14
ID,Jakarta,US Diplomatic Post: Jakarta South,StateAir_JakartaSouth,26249,2015-12-22,2019-04-14
IN, Alwar,"Moti Doongri, Alwar - RSPCB",caaqm,1304,2019-01-02,2019-02-14
IN,Agra,"Sanjay Palace, Agra - UPPCB","data.gov.in, caaqm",40032,2018-03-09,2019-02-14
IN,Agra,Sanjay Palace,CPCB,87045,2016-03-22,2018-02-22
IN,Ahmedabad,Maninagar,CPCB,46592,2016-06-28,2017-11-28
IN,Ahmedabad,"Maninagar, Ahmedabad - GPCB","data.gov.in, caaqm",36418,2018-03-09,2019-02-14
IN,Ahmedabad,"Maninagar, Ahmedabad - GSPCB",CPCB,16011,2017-11-28,2018-02-22
IN,Ajmer,"Civil Lines, Ajmer - RSPCB",data.gov.in,1015,2018-03-08,2018-04-09
IN,Ajmer,"Civil Lines, Ajmer- RSPCB",CPCB,26081,2017-10-23,2018-02-16
IN,Ajmer,"Civil Lines,  Ajmer - RSPCB",caaqm,25848,2018-04-16,2019-02-14
IN,Ajmer,"Civil Lines,Ajmer - RSPCB",CPCB,2875,2017-10-16,2017-10-24
IN,Alwar,"Moti Doongri, Alwar, Rajasthan - RSPCB","data.gov.in, caaqm",45698,2018-03-09,2018-12-28
IN,Alwar,"Moti Doongri, Alwar- RSPCB",CPCB,16067,2017-11-02,2018-02-21
IN,Amaravati,"Secretariat, Amaravati - APPCB","CPCB, data.gov.in, caaqm",49780,2017-11-27,2019-02-14
IN,Ambala ,"Patti Mehar, Ambala - HSPCB",caaqm,834,2019-02-12,2019-02-14
IN,Amritsar,"Golden Temple,Amritsar - PPCB",CPCB,83940,2017-02-26,2018-02-22
IN,Amritsar,"Golden Temple, Amritsar - PPCB","data.gov.in, caaqm",36408,2018-03-09,2019-02-14
IN,Ankleshwar,"GIDC, Ankleshwar - GPCB",caaqm,828,2019-02-12,2019-02-14
IN,Asanol,"Asanol Court Area, Asanol - WBPCB","data.gov.in, caaqm",8549,2018-03-09,2018-05-14
IN,Asansol,"Asansol Court Area, Asanol - WBPCB",caaqm,1542,2018-08-10,2018-08-16
IN,Asansol,"Asansol Court Area, Asansol - WBPCB","CPCB, caaqm",34220,2018-01-18,2019-02-14
IN,Asansol,"Asansol Court Area, Asansol - WBSPCB",CPCB,18,2018-01-19,2018-01-19
IN,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB","data.gov.in, caaqm",23516,2018-03-09,2019-02-14
IN,Aurangabad,"More Chowk-Waluj, Aurangabad - MPCB",CPCB,117789,2016-08-16,2018-02-22
IN,Baghpat,"New Collectorate, Baghpat - UPPCB",caaqm,36494,2018-08-10,2019-02-14
IN,Bahadurgarh ,"Arya Nagar, Bahadurgarh - HSPCB",caaqm,874,2019-02-12,2019-02-14
IN,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",caaqm,687,2019-02-12,2019-02-14
IN,Barddhaman,"Sidhu Kanhu Indoor Stadium,Barddhaman - WBSPCB",CPCB,6,2016-09-20,2016-09-20
IN,Barddhaman,"Durgapur City Center, Barddhaman - WBSPCB",CPCB,2461,2016-08-17,2016-09-16
IN,Bathinda ,"Hardev Nagar, Bathinda - PPCB",caaqm,21049,2018-08-10,2019-02-14
IN,Bengaluru,SaneguravaHalli - KSPCB,CPCB,61474,2016-03-21,2018-02-21
IN,Bengaluru,"Peenya, Bengaluru - KSPCB",CPCB,6909,2017-11-24,2018-02-22
IN,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","data.gov.in, caaqm",22215,2018-03-09,2019-02-14
IN,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB","data.gov.in, caaqm",29862,2018-03-09,2019-02-09
IN,Bengaluru,"City Railway Station, Bengaluru - KSPCB","data.gov.in, caaqm",24384,2018-03-09,2019-02-13
IN,Bengaluru,BWSSB Kadabesanahalli,CPCB,64808,2016-03-22,2017-11-28
IN,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - KSPCB",CPCB,10152,2017-11-28,2018-02-22
IN,Bengaluru,"BTM Layout, Bengaluru - CPCB","data.gov.in, caaqm",40165,2018-03-09,2019-02-14
IN,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",caaqm,28356,2018-08-10,2019-02-14
IN,Bengaluru,BTM Layout,CPCB,105330,2016-03-22,2017-11-21
IN,Bengaluru,"BTM Layout, Bengaluru - KSPCB",CPCB,10335,2017-11-21,2018-02-22
IN,Bengaluru,"Peenya, Bengaluru - CPCB","data.gov.in, caaqm",33180,2018-03-09,2019-02-14
IN,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",caaqm,20758,2018-08-10,2019-02-12
IN,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",caaqm,31144,2018-08-10,2019-02-14
IN,Bengaluru,Peenya,CPCB,53564,2016-03-22,2017-11-24
IN,Bengaluru,"Silk Board, Bengaluru - KSPCB",caaqm,30397,2018-08-10,2019-02-14
IN,Bengaluru,City Railway Station - KSPCB,CPCB,75021,2016-03-21,2018-02-22
IN,Bengaluru,"Hebbal, Bengaluru - KSPCB",caaqm,23585,2018-08-10,2019-02-13
IN,Bhiwadi,"RIICO Ind. Area III, Bhiwadi, Rajasthan - RSPCB","data.gov.in, caaqm",31982,2018-03-09,2018-12-28
IN,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",caaqm,1218,2019-01-02,2019-02-14
IN,Bhiwadi,"RIICO Industrial Area-III, Bhiwadi- RSPCB",CPCB,23692,2017-10-13,2018-02-17
IN,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",caaqm,875,2019-02-12,2019-02-14
IN,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB","caaqm, data.gov.in",20773,2018-03-09,2019-02-14
IN,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",caaqm,30667,2018-08-10,2019-02-14
IN,Chandrapur,"Chandrapur, Chandrapur - MPCB","data.gov.in, caaqm",47087,2018-03-09,2019-02-14
IN,Chandrapur,"MIDC Khutala,Chandrapur - MPCB",CPCB,75594,2016-08-22,2018-02-22
IN,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","data.gov.in, caaqm",44287,2018-03-09,2019-02-14
IN,Chandrapur,Chandrapur,CPCB,163825,2016-03-22,2018-02-22
IN,Chennai,"Alandur Bus Depot, Chennai - CPCB","data.gov.in, caaqm",24483,2018-03-09,2019-02-14
IN,Chennai,Manali,CPCB,94122,2016-03-21,2018-02-22
IN,Chennai,"IIT, Chennai - CPCB","caaqm, data.gov.in",1100,2018-03-09,2018-04-16
IN,Chennai,IIT,CPCB,117898,2016-03-22,2018-02-22
IN,Chennai,"Manali, Chennai - CPCB","caaqm, data.gov.in",32448,2018-03-09,2019-02-14
IN,Chennai,"Velachery Res. Area, Chennai - CPCB",caaqm,29255,2018-04-16,2019-02-14
IN,Chennai,Alandur Bus Depot,CPCB,72697,2016-03-22,2018-02-22
IN,Chennai,US Diplomatic Post: Chennai,StateAir_Chennai,26409,2015-12-11,2019-04-14
IN,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",caaqm,28168,2018-08-10,2019-02-14
IN,Chittoor,AP Tirumala,CPCB,3172,2016-06-23,2016-07-04
IN,Damoh,"Shrivastav Colony, Damoh - MPPCB",caaqm,529,2019-02-12,2019-02-14
IN,Delhi,Civil Lines,CPCB,4,2015-07-10,2015-07-10
IN,Delhi,Punjabi Bagh,"Punjabi Bagh, CPCB",142434,2015-06-29,2017-11-27
IN,Delhi,Shadipur,CPCB,124748,2016-03-21,2017-11-28
IN,Delhi,"Lodhi Road, Delhi - IMD","CPCB, caaqm",15082,2017-09-13,2019-02-14
IN,Delhi,"CRRI Mathura Road, New Delhi - IMD","data.gov.in, caaqm",32722,2018-03-09,2018-12-14
IN,Delhi,"IHBAS, Dilshad Garden,New Delhi - CPCB","data.gov.in, caaqm",28972,2018-03-09,2018-12-15
IN,Delhi,"Lodhi Road, New Delhi - IMD","data.gov.in, caaqm",28579,2018-03-09,2018-12-15
IN,Delhi,"Patparganj, Delhi - DPCC","data.gov.in, caaqm",21050,2018-03-21,2019-02-14
IN,Delhi,"Pusa, New Delhi - IMD","data.gov.in, caaqm",22937,2018-03-09,2018-12-15
IN,Delhi,"R K Puram, New Delhi - DPCC","data.gov.in, caaqm",27554,2018-03-09,2018-12-14
