Country,Name of Act or Policy,Year Enacted / Enforced,"Type of Standard (Ambient, Vehicle Emissions, etc.)",Pollutant,Averaging Period,Population,Standards,Unit,"Repercussions of Non-Compliance (Penalty, etc.)",Ministries/Sectors Responsible ,Comments/Remarks,Source / Link
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,CO,8-hour,General,9,ppm,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,CO,1-hour,General,35,ppm,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,Pb,Annual,General,0.5,µg/m3,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,NOx,Annual,General,0.053,ppm,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,TSP,8-hour,General,200,µg/m3,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,PM10,Annual,General,50,µg/m3,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,PM10,24-hour,General,150,µg/m3,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,PM2.5,Annual,General,15,µg/m3,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,PM2.5,24-hour,General,65,µg/m3,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,O3,1-hour,General,0.12,ppm,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,O3,8-hour,General,0.08,ppm,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,SO2,Annual,General,0.03,ppm,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Bangladesh,Environmental Conservation Rules (ECR),2005,Ambient,SO2,24-hour,General,0.14,ppm,,DOE,"Original standards made in 1997 were amended in 2005, the same as USEPA NAAQS",http://cleanairasia.org/wp-content/uploads/portal/files/documents/bangladesh_0.pdf
Cambodia,(MOE Mandate Approved),1997,,,,,,,,"MOE at national level (Office of Air Quality, Noise and Vibration Management under the Department of Pollution Control = main unit responsible); ""the related ministries are the Ministry of Agriculture, Forestry and Fisheries, Ministry of Public Works and Transport; Ministry of Planning; Ministry of  Water  Resources  and  Meteorology;  Cambodia  National  Mekong Committee; and the Council of Ministers.""",,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,CO,1-hour,General,40,µg/m3,,"MOE at national level (Office of Air Quality, Noise and Vibration Management under the Department of Pollution Control = main unit responsible); ""the related ministries are the Ministry of Agriculture, Forestry and Fisheries, Ministry of Public Works and Transport; Ministry of Planning; Ministry of  Water  Resources  and  Meteorology;  Cambodia  National  Mekong Committee; and the Council of Ministers.""",,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,CO,8-hour,General,20,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,NO2,1-hour,General,300,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,NO2,24-hour,General,100,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,SO2,1-hour,General,500,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,SO2,24-hour,General,300,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,O3,1-hour,General,200,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,TSP,24-hour,General,330,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Ambient,TSP,Annual,General,100,µg/m3,,,,http://cleanairasia.org/wp-content/uploads/portal/files/documents/cambodia_0.pdf
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Vehicular Emissions,CO,>5yo 2-stroke motorcycle,General,4.5,%,,,Fuel: petrol,
Cambodia,(Subdecree on Air Pollution Control and Noise Disturbance),2000,Vehicular Emissions,CO,<5yo 2-stroke motorcycle,General,4,%,,,Fuel: petrol,
